hemisphere,analysis,contrast,b,SE,z,p,lower.CL,upper.CL
Left,Full sample,F,0.16810227170669545,0.10228133849996784,1.6435282737989227,0.10027368041704517,-0.03236546804379151,0.3685700114571824
Left,Full sample,M,0.1380112757280691,0.11687470816742176,1.1808480884535721,0.23766307664278802,-0.09105894298370681,0.367081494439845
Left,Full sample,F - M,0.030090995978626356,0.15522332442542416,0.19385614945441618,0.8462885199418646,-0.2741411294557814,0.3343231214130341
Left,After max |DFBETAS| > .20 removal,F,0.1644780817454089,0.1025386578257734,1.6040592419775836,0.10870099483002041,-0.03649399461618308,0.3654501581070009
Left,After max |DFBETAS| > .20 removal,M,0.16393155709075174,0.11926980270601102,1.3744598663823382,0.1692989615642989,-0.06983296065622768,0.3976960748377312
Left,After max |DFBETAS| > .20 removal,F - M,5.465246546571297e-4,0.15716138972458332,0.0034774740514504484,0.9972253827359168,-0.3074841389657894,0.3085771882751037
Left,After max |DFBETAS| > 2/sqrt(N) removal,F,0.2330846818849869,0.11494835999657431,2.02773386146556,0.04258741773468189,0.007790036209756629,0.45837932756021715
Left,After max |DFBETAS| > 2/sqrt(N) removal,M,0.23864841410873713,0.15559083698757184,1.5338204918056948,0.1250738202801586,-0.06630402271134614,0.5436008509288204
Left,After max |DFBETAS| > 2/sqrt(N) removal,F - M,-0.005563732223750239,0.19341407670761945,-0.028765911553381047,0.9770512882621856,-0.38464835667375163,0.3735208922262512
Right,Full sample,F,0.14906643178853435,0.09884684108762416,1.5080545837210146,0.13154055758914757,-0.044669816728762995,0.3428026803058317
Right,Full sample,M,-0.1860338703901538,0.11996866926431304,-1.5506871213207087,0.12097668232363198,-0.42116814142140463,0.04910040064109705
Right,Full sample,F - M,0.33510030217868814,0.15543318663950112,2.155912192393585,0.031090522247729954,0.030456854362973684,0.6397437499944025
Right,After max |DFBETAS| > .20 removal,F,0.15712308089049082,0.09915938350127691,1.5845508043973215,0.1130684299630531,-0.03722573950120714,0.35147190128218875
Right,After max |DFBETAS| > .20 removal,M,-0.19897469140327834,0.1257500488586167,-1.5823030941879757,0.11358039472842553,-0.4454402582203192,0.047490875413762484
Right,After max |DFBETAS| > .20 removal,F - M,0.35609777229376915,0.16016156592643618,2.223365950713347,0.026191133719219384,0.04218687137041682,0.6700086732171215
Right,After max |DFBETAS| > 2/sqrt(N) removal,F,0.28430867791638825,0.11278370726796341,2.520831109416343,0.011707803075226213,0.06325667362827167,0.5053606822045048
Right,After max |DFBETAS| > 2/sqrt(N) removal,M,-0.3264770873328736,0.14924073608680574,-2.1875869544289737,0.02869970295877217,-0.61898355508926,-0.03397061957648728
Right,After max |DFBETAS| > 2/sqrt(N) removal,F - M,0.6107857652492619,0.18752061109697005,3.257166034582803,0.0011253058948850166,0.24325212114025868,0.978319409358265
